Tanggal	Terakhir	Pembukaan	Tertinggi	Terendah	Perubahan%
28/02/2020	14.347,50	14.057,50	14.347,50	14.057,50	2,23%
02/03/2020	14.265,00	14.355,00	14.420,00	14.225,00	-0,58%
03/03/2020	14.281,50	14.196,50	14.286,50	14.196,50	0,12%
04/03/2020	14.115,00	14.255,00	14.255,00	14.095,00	-1,17%
05/03/2020	14.170,00	14.120,00	14.190,00	14.120,00	0,39%
06/03/2020	14.230,00	14.190,00	14.295,00	14.190,00	0,42%
09/03/2020	14.392,50	14.247,50	14.392,50	14.247,50	1,14%
10/03/2020	14.346,00	14.391,00	14.416,00	14.281,00	-0,32%
11/03/2020	14.352,50	14.302,50	14.392,50	14.292,50	0,05%
12/03/2020	14.521,50	14.366,50	14.521,50	14.366,50	1,18%
13/03/2020	14.770,00	14.610,00	14.865,00	14.610,00	1,71%
16/03/2020	14.925,00	14.725,00	15.002,00	14.725,00	1,05%
17/03/2020	15.170,00	14.940,00	15.170,00	14.940,00	1,64%
18/03/2020	15.217,50	15.097,50	15.232,50	15.097,50	0,31%
19/03/2020	15.912,50	15.287,50	15.912,50	15.287,50	4,57%
20/03/2020	15.925,00	15.962,50	16.225,00	15.925,00	0,08%
23/03/2020	16.575,00	15.975,00	16.640,00	15.975,00	4,08%
24/03/2020	16.500,00	16.505,00	16.525,00	16.472,50	-0,45%
26/03/2020	16.305,00	16.205,00	16.360,00	16.205,00	-1,18%
27/03/2020	16.220,00	16.105,00	16.220,00	16.105,00	-0,52%
